type,n,k,q,s,Average visited nodes,Variance
standard,10,2,10,1,7.1,7.69
standard,10,2,10,2,4.1,2.49
standard,10,2,15,1,5.93333,2.32889
standard,10,2,15,2,3.6,0.773333
standard,10,2,20,1,5.65,0.9275
standard,10,2,20,2,3.4,3.04
standard,10,2,25,1,5.96,4.5984
standard,10,2,25,2,4,2.16
standard,10,2,30,1,6.06667,1.26222
standard,10,2,30,2,3.4,0.506667
standard,10,2,35,1,6.31429,1.98694
standard,10,2,35,2,3.4,1.95429
standard,10,2,50,1,6.32,8.2176
standard,10,2,50,2,4.28,0.5216
standard,10,2,100,1,6.35,4.3275
standard,10,2,100,2,4.38,2.0156
standard,10,2,200,1,6.01,1.6299
standard,10,2,200,2,4.35,2.3475
standard,10,3,10,1,6.8,1.56
standard,10,3,10,2,5.2,1.16
standard,10,3,10,3,4.5,1.05
standard,10,3,15,1,6.53333,2.24889
standard,10,3,15,2,5.8,3.76
standard,10,3,15,3,3.8,0.426667
standard,10,3,20,1,6.5,0.95
standard,10,3,20,2,5.55,3.8475
standard,10,3,20,3,2.75,0.7875
standard,10,3,25,1,7.96,3.7984
standard,10,3,25,2,5.96,2.8384
standard,10,3,25,3,3.84,1.7344
standard,10,3,30,1,7.23333,2.11222
standard,10,3,30,2,5.5,2.38333
standard,10,3,30,3,4.63333,2.03222
standard,10,3,35,1,7.45714,8.93388
standard,10,3,35,2,5,5.42857
standard,10,3,35,3,4.02857,2.37061
standard,10,3,50,1,7.16,5.4544
standard,10,3,50,2,5.54,2.8084
standard,10,3,50,3,4.72,1.2816
standard,10,3,100,1,7.03,6.2491
standard,10,3,100,2,5.65,2.6075
standard,10,3,100,3,3.82,1.2476
standard,10,3,200,1,7.335,4.17277
standard,10,3,200,2,5.095,2.15598
standard,10,3,200,3,3.5,1.33
standard,10,5,10,1,7.6,5.04
standard,10,5,10,2,7.2,1.56
standard,10,5,10,3,5.9,1.89
standard,10,5,10,4,4.4,1.84
standard,10,5,10,5,4.3,2.01
standard,10,5,15,1,8.26667,2.06222
standard,10,5,15,2,5.93333,4.59556
standard,10,5,15,3,5.93333,3.79556
standard,10,5,15,4,5.53333,1.04889
standard,10,5,15,5,4.73333,0.328889
standard,10,5,20,1,8.85,2.0275
standard,10,5,20,2,7,2.7
standard,10,5,20,3,5.6,5.44
standard,10,5,20,4,5.4,3.84
standard,10,5,20,5,4,0.9
standard,10,5,25,1,9,3.2
standard,10,5,25,2,6.04,5.1584
standard,10,5,25,3,7.28,2.4416
standard,10,5,25,4,4.4,4.32
standard,10,5,25,5,3.52,1.7696
standard,10,5,30,1,7.86667,2.91556
standard,10,5,30,2,6.36667,4.56556
standard,10,5,30,3,5.73333,2.79556
standard,10,5,30,4,4.76667,4.97889
standard,10,5,30,5,4,1.86667
standard,10,5,35,1,8.57143,2.30204
standard,10,5,35,2,7.2,2.73143
standard,10,5,35,3,6.28571,2.8898
standard,10,5,35,4,5.74286,3.73388
standard,10,5,35,5,4.74286,1.39102
standard,10,5,50,1,8.3,1.25
standard,10,5,50,2,7.32,2.9776
standard,10,5,50,3,6.72,4.9216
standard,10,5,50,4,4.8,2.6
standard,10,5,50,5,4,0.76
standard,10,5,100,1,8.39,3.6579
standard,10,5,100,2,7.87,1.6131
standard,10,5,100,3,5.28,3.7416
standard,10,5,100,4,4.76,2.9224
standard,10,5,100,5,3.39,0.8779
standard,10,5,200,1,8.68,2.6476
standard,10,5,200,2,7.19,5.2539
standard,10,5,200,3,5.475,3.48937
standard,10,5,200,4,6.08,1.3136
standard,10,5,200,5,3.695,0.291975
standard,10,7,10,1,9.1,2.49
standard,10,7,10,2,7.3,6.01
standard,10,7,10,3,6.5,9.05
standard,10,7,10,4,6.6,8.04
standard,10,7,10,5,5.7,1.61
standard,10,7,15,1,9.46667,1.84889
standard,10,7,15,2,6.93333,5.79556
standard,10,7,15,3,7.2,4.29333
standard,10,7,15,4,5.46667,2.64889
standard,10,7,15,5,6.33333,5.02222
standard,10,7,20,1,9.2,2.76
standard,10,7,20,2,6.05,8.2475
standard,10,7,20,3,7.5,4.15
standard,10,7,20,4,5.75,2.6875
standard,10,7,20,5,5.6,3.84
standard,10,7,25,1,8.88,1.3056
standard,10,7,25,2,7.52,5.9296
standard,10,7,25,3,7.68,3.8176
standard,10,7,25,4,6.44,5.0464
standard,10,7,25,5,5.68,3.2576
standard,10,7,30,1,9.1,2.29
standard,10,7,30,2,7.53333,4.78222
standard,10,7,30,3,6.83333,4.73889
standard,10,7,30,4,6.6,3.57333
standard,10,7,30,5,4.86667,1.71556
standard,10,7,35,1,9.11429,1.87265
standard,10,7,35,2,7.97143,4.99918
standard,10,7,35,3,6.45714,4.87673
standard,10,7,35,4,6,2.74286
standard,10,7,35,5,4.94286,3.31102
standard,10,7,50,1,8.36,4.6304
standard,10,7,50,2,8.12,3.2656
standard,10,7,50,3,6.38,5.3556
standard,10,7,50,4,5.26,4.1924
standard,10,7,50,5,4.82,3.2276
standard,10,7,100,1,9.02,2.0596
standard,10,7,100,2,8.45,3.4875
standard,10,7,100,3,6.87,3.6731
standard,10,7,100,4,6.81,4.0539
standard,10,7,100,5,5.64,4.1104
standard,10,7,200,1,8.59,3.6219
standard,10,7,200,2,7.78,6.3816
standard,10,7,200,3,6.265,5.12478
standard,10,7,200,4,5.75,3.7775
standard,10,7,200,5,5.655,3.20598
standard,10,10,10,1,9.5,0.85
standard,10,10,10,2,9.5,0.85
standard,10,10,10,3,7.9,2.89
standard,10,10,10,4,6.5,5.25
standard,10,10,10,5,6.4,3.44
standard,10,10,15,1,9.33333,3.02222
standard,10,10,15,2,8.4,4.10667
standard,10,10,15,3,7.86667,5.04889
standard,10,10,15,4,7.53333,3.31556
standard,10,10,15,5,5.73333,7.26222
standard,10,10,20,1,9.7,0.41
standard,10,10,20,2,9,1.6
standard,10,10,20,3,8.3,2.31
standard,10,10,20,4,6.85,5.4275
standard,10,10,20,5,6.3,4.61
standard,10,10,25,1,9.24,3.6224
standard,10,10,25,2,7.72,4.8416
standard,10,10,25,3,8.76,2.5024
standard,10,10,25,4,5.88,7.7056
standard,10,10,25,5,6.52,4.9696
standard,10,10,30,1,9.33333,2.08889
standard,10,10,30,2,8.36667,4.63222
standard,10,10,30,3,7.7,5.07667
standard,10,10,30,4,6.93333,3.12889
standard,10,10,30,5,6.83333,4.80556
standard,10,10,35,1,8.77143,5.54776
standard,10,10,35,2,7.97143,5.22776
standard,10,10,35,3,8.6,2.64
standard,10,10,35,4,7.05714,4.33959
standard,10,10,35,5,6.65714,3.42531
standard,10,10,50,1,9.36,2.8704
standard,10,10,50,2,8.2,3.24
standard,10,10,50,3,8.22,2.0116
standard,10,10,50,4,6.82,5.9076
standard,10,10,50,5,5.82,4.1476
standard,10,10,100,1,8.68,5.1176
standard,10,10,100,2,8.24,4.1224
standard,10,10,100,3,8.06,4.2764
standard,10,10,100,4,6.82,4.6676
standard,10,10,100,5,5.49,5.9099
standard,10,10,200,1,9.29,2.0059
standard,10,10,200,2,8.555,3.11698
standard,10,10,200,3,8.275,3.01938
standard,10,10,200,4,7.465,3.27877
standard,10,10,200,5,6.05,4.5075
standard,10,15,10,1,9.1,3.69
standard,10,15,10,2,8.8,2.36
standard,10,15,10,3,8.8,3.16
standard,10,15,10,4,8.3,1.81
standard,10,15,10,5,8,1.4
standard,10,15,15,1,9.66667,0.488889
standard,10,15,15,2,9.33333,0.622222
standard,10,15,15,3,6.46667,8.78222
standard,10,15,15,4,8.2,2.02667
standard,10,15,15,5,7.46667,4.78222
standard,10,15,20,1,9.2,2.06
standard,10,15,20,2,9.9,0.09
standard,10,15,20,3,8.15,3.9275
standard,10,15,20,4,7.6,9.44
standard,10,15,20,5,5.5,10.75
standard,10,15,25,1,9.6,0.48
standard,10,15,25,2,8.68,4.0576
standard,10,15,25,3,8.4,3.2
standard,10,15,25,4,8.32,4.4576
standard,10,15,25,5,7.68,7.4176
standard,10,15,30,1,9.86667,0.182222
standard,10,15,30,2,8.86667,3.04889
standard,10,15,30,3,8.6,2.77333
standard,10,15,30,4,7.56667,4.97889
standard,10,15,30,5,7.23333,3.84556
standard,10,15,35,1,9.42857,1.78776
standard,10,15,35,2,8.88571,4.21551
standard,10,15,35,3,7.65714,5.71102
standard,10,15,35,4,8.34286,2.11102
standard,10,15,35,5,7.22857,4.4049
standard,10,15,50,1,9.52,1.5296
standard,10,15,50,2,8.8,2.92
standard,10,15,50,3,8.58,3.0036
standard,10,15,50,4,8.1,4.37
standard,10,15,50,5,7.92,3.8736
standard,10,15,100,1,9.06,3.3964
standard,10,15,100,2,8.81,3.6539
standard,10,15,100,3,8.68,3.3376
standard,10,15,100,4,8.33,4.3211
standard,10,15,100,5,7.76,4.3624
standard,10,15,200,1,9.535,1.92878
standard,10,15,200,2,9.23,1.6471
standard,10,15,200,3,8.905,2.08598
standard,10,15,200,4,7.97,5.4491
standard,10,15,200,5,7.54,4.4684
standard,10,20,10,1,9.7,0.81
standard,10,20,10,2,7.8,9.76
standard,10,20,10,3,9.8,0.16
standard,10,20,10,4,7.5,4.05
standard,10,20,10,5,7.5,4.45
standard,10,20,15,1,9.8,0.16
standard,10,20,15,2,9.46667,1.58222
standard,10,20,15,3,9.13333,2.24889
standard,10,20,15,4,9.33333,2.35556
standard,10,20,15,5,7.4,3.57333
standard,10,20,20,1,9.85,0.2275
standard,10,20,20,2,8.9,3.89
standard,10,20,20,3,7.85,6.6275
standard,10,20,20,4,8.5,4.95
standard,10,20,20,5,8.25,4.9875
standard,10,20,25,1,9.68,0.7776
standard,10,20,25,2,9.84,0.2144
standard,10,20,25,3,8.68,5.0176
standard,10,20,25,4,9.08,1.2736
standard,10,20,25,5,7.88,4.9056
standard,10,20,30,1,9.2,3.09333
standard,10,20,30,2,8.9,3.35667
standard,10,20,30,3,9.4,2.30667
standard,10,20,30,4,9.2,2.56
standard,10,20,30,5,7.86667,3.84889
standard,10,20,35,1,9.77143,0.233469
standard,10,20,35,2,9.22857,2.06204
standard,10,20,35,3,8.71429,3.74694
standard,10,20,35,4,9.11429,1.9298
standard,10,20,35,5,8.08571,4.59265
standard,10,20,50,1,9.62,1.9956
standard,10,20,50,2,9.6,0.6
standard,10,20,50,3,8.84,3.1744
standard,10,20,50,4,8.94,2.1364
standard,10,20,50,5,7.54,6.3284
standard,10,20,100,1,9.42,2.0036
standard,10,20,100,2,9.38,0.7156
standard,10,20,100,3,9.02,2.5396
standard,10,20,100,4,8.56,3.1064
standard,10,20,100,5,8.18,3.2676
standard,10,20,200,1,9.69,0.7339
standard,10,20,200,2,9.385,1.82677
standard,10,20,200,3,8.61,5.3279
standard,10,20,200,4,8.055,4.09197
standard,10,20,200,5,8.33,3.2211
standard,10,25,10,1,10,0
standard,10,25,10,2,8.3,5.21
standard,10,25,10,3,8.4,3.84
standard,10,25,10,4,9,1
standard,10,25,10,5,7.9,4.89
standard,10,25,15,1,9.8,0.293333
standard,10,25,15,2,9.53333,1.58222
standard,10,25,15,3,9.66667,0.355556
standard,10,25,15,4,8.66667,3.28889
standard,10,25,15,5,9.2,2.42667
standard,10,25,20,1,9.95,0.0475
standard,10,25,20,2,9.15,2.5275
standard,10,25,20,3,9.75,0.2875
standard,10,25,20,4,8.35,3.5275
standard,10,25,20,5,8.65,3.0275
standard,10,25,25,1,9.48,2.7296
standard,10,25,25,2,9.96,0.0384
standard,10,25,25,3,9.44,1.3664
standard,10,25,25,4,8.88,4.4256
standard,10,25,25,5,8.8,3.6
standard,10,25,30,1,9.56667,2.24556
standard,10,25,30,2,9.66667,0.422222
standard,10,25,30,3,8.73333,3.52889
standard,10,25,30,4,8.53333,3.98222
standard,10,25,30,5,9.36667,1.36556
standard,10,25,35,1,9.37143,2.51918
standard,10,25,35,2,9.17143,2.65633
standard,10,25,35,3,9.34286,1.88245
standard,10,25,35,4,8.97143,3.22776
standard,10,25,35,5,8.8,2.90286
standard,10,25,50,1,9.74,0.9124
standard,10,25,50,2,9.42,2.2036
standard,10,25,50,3,8.54,4.0484
standard,10,25,50,4,8.96,1.7584
standard,10,25,50,5,8.9,3.45
standard,10,25,100,1,9.75,0.7075
standard,10,25,100,2,9.51,0.8899
standard,10,25,100,3,9.06,3.0164
standard,10,25,100,4,8.89,3.6979
standard,10,25,100,5,8.59,3.0219
standard,10,25,200,1,9.38,2.4556
standard,10,25,200,2,9.335,2.52278
standard,10,25,200,3,8.89,4.1679
standard,10,25,200,4,9.025,2.03438
standard,10,25,200,5,8.02,5.8996
standard,20,2,10,1,10.3,4.81
standard,20,2,10,2,5.5,6.85
standard,20,2,15,1,9.6,11.44
standard,20,2,15,2,5.2,1.89333
standard,20,2,20,1,11.2,13.46
standard,20,2,20,2,5.7,2.31
